Designator;Manufacturer Part Number or Seeed SKU;Qty;Link
D21,D55,D20,D33,D26,D23,D43,D60,D5,D8,D2,D37,D52,D29,D22,D57,D19,D28,D16,D39,D31,D42,D30,D54,D35,D25,D1,D50,D41,D51,D27,D10,D53,D6,D38,D17,D12,D44,D45,D9,D47,D3,D24,D13,D49,D36,D59,D14,D46,D56,D18,D34,D40,D7,D4,D15,D32,D48,D58,D11;304010007;60;https://www.seeedstudio.com/opl.html
M1;102010428;1;https://www.seeedstudio.com/XIAO-RP2040-v1-0-p-5026.html
